Formula,band_gap,MP ID,density,vpa,packing fraction
Rb3Al2(PO4)3,4.354,mp-560459,2.894429822,17.07567106,0.594035113
KCaCO3F,4.355,mp-6867,2.523223844,14.87156732,0.708023677
BAsH4NO4F,4.366,mp-1191775,2.60388126,9.925375938,0.121724411
RbMgBO3,4.373,mp-1020633,3.233635464,14.42839388,0.852318699
KBS4(ClO3)4,4.374,mp-560423,1.921867513,20.10717058,0.206941879
K3Al2(PO4)3,4.383,mp-560629,2.337645884,16.20201625,0.535713853
Rb4Ge3B6O17,4.401,mp-1020896,3.478982392,14.26583221,0.637434381
Er2Be2GeO7,4.43,mp-14420,6.783252109,10.95842762,0.525557251
SbF3 ,4.439,mp-1880,4.740151397,15.65509116,0.22901251
CaAlBO4,4.45,mp-559759,2.522329123,13.34240667,0.415450973
Li3AlSiO5,4.455,mp-1020023,2.53737134,10.20175934,0.55471369
Dy2Be2GeO7,4.469,mp-20778,6.547064955,11.15258418,0.516407768
RbBe2B3O7,4.504,mp-1020621,2.668208035,11.86859497,0.50625178
Pr2Be2GeO7,4.518,mp-14415,5.512772347,12.16100817,0.529400158
K6Al4Si6BH4ClO24,4.519,mp-1199737,2.379445704,14.34134433,0.549532725
LiGeBO4,4.531,mp-549308,3.494061148,10.48186588,0.369929188
Cs2Li3(BO2)5,4.535,mp-966802,2.951733153,14.08331103,0.736561506
RbGeB3O7,4.586,mp-1199892,3.122934056,13.40549823,0.476132992
K2Al2B2O7,4.594,mp-560217,2.370008282,14.32432138,0.628545122
RbSbSO4F2,4.603,mp-554732,3.68370845,17.09390737,0.493917037
LiK3P2O7,4.608,mp-1019794,2.511334794,15.16626051,0.818049613
KMgBO3,4.616,mp-1191101,2.461969522,13.73823064,0.776739785
SrAl2B2O7,4.652,mp-15939,2.657865722,14.32796887,0.356826081
CsSbSO4F2,4.656,mp-1213195,3.983734449,18.00356541,0.587830043
Na3B5(HO5)2,4.658,mp-722369,2.437975553,9.707037537,0.491025009
Sm2Be2GeO7,4.677,mp-14416,5.972251284,11.66341898,0.551985628
Ca2B2O5,4.707,mp-1019560,2.781254178,12.05868806,0.539277607
Ba4NaAl2B8(ClO6)3,4.715,mp-1204585,3.553333724,14.3713078,0.496248177
AlB5H16(NO7)2,4.725,mp-1200079,1.604701407,9.508377648,0.102563921
NaSr3Be3B3O9F4,4.755,mp-1192032,3.383181893,12.06370428,0.567501296
Na3B3(HO2)4,4.762,mp-1203588,2.19670418,9.803029821,0.501570695
(NH4)2PO3F,4.779,mp-24157,1.587570101,9.347230449,0.073112686
BaB2O4,4.79,mp-5730,3.845530007,13.75294501,0.52345946
Sr6B(PO4)5,4.812,mp-6044,3.566866274,14.71397476,0.515398412
CsGeB3O7,4.818,mp-558804,3.357642967,14.42345924,0.553809475
LiNa3P2O7,4.851,mp-1020164,2.599721549,12.2762176,0.631415702
KLa(PO3)4,4.855,mp-540962,3.125111511,14.57950333,0.39352849
RbLiB4O7,4.869,mp-6787,2.492587045,12.69086689,0.507662842
NaB(HO)4,4.873,mp-707419,1.82308374,9.27510372,0.332959936
